Animal,Generation,Season,Separation,G_S,Paradigm,Date_Ambitus,Year,NR,Group,Sex,GR_Sex,Trials,EAT_E_Nr,EAT_E_%,EAT_I_Nr,EAT_I_%,EAT_TOT_Nr,EAT_TOT_%%,EAT_E_T,EAT_I_T,EAT_TOT_T,Expl_E_BEF_Nr,Expl_I_BEF_Nr,Expl_E_I_BEF_Nr,Expl_E_BEF_Calc,Expl_I_BEF_Calc,EXPL_BEF,Expl_E_AFT_Nr,Expl_I_AFT_Nr,Expl_E_I_AFT_Nr,Expl_E_AFT_Calc,Expl_I_AFT_Calc,Expl_E_I_AFT_Calc,Expl_E_BEF_AFT_Nr,Expl_I_BEF_AFT_Nr,EXPL_TOT,Expl_E_BEF_T,Expl_I_BEF_T,Expl_E_I_BEF_T,Expl_E_BEF_Calc_T,Expl_I_BEF_Calc_T,Expl_E_I_BEF_Calc_T,Expl_E_AFT_T,Expl_I_AFT_T,Expl_E_I_AFT_T,Expl_E_AFT_T_Calc,Expl_I_AFT_T_Calc,Expl_E_I_AFT_T_Calc,Expl_E_BEF_AFT_T,Expl_I_BEF_AFT_T,Expl_TOT_T,LAT_E,LAT_I,LAT_E_I,Lat_Tot_Log,Lat_E_Log,Lat_I_Log,Box_E_BEF_Nr,Box_I_BEF_Nr,Box_E_I_BEF_Nr,Box_REP_E_BEF_Nr,Box_REP_I_BEF_Nr,Box_REP_E_I_BEF_Nr,Expl_REP_E_BEF_Nr,Expl_REP_I_BEF_Nr,Expl_REP_BEF_Nr,Expl_REP_E_BEF_Calc_T,Expl_REP_I_BEF_Calc_T,Expl_REP_E_I_BEF_Calc_T,Expl_REP_E_AFT_Nr,Expl_REP_I_AFT_Nr,Expl_REP_AFT_Nr,Expl_REP_E_AFT_Nr_Calc,Expl_REP_I_AFT_Nr_Calc,Expl_REP_AFT_Nr_Calc,Expl_REP_E_BEF_AFT_Nr,Expl_REP_I_BEF_AFT_Nr,Expl_REP_TOT_Nr,Dir_Change_Nr,Circle_Nr,LOCO_TOT,Explored Area,Loco_BEF_NR,LOCO_BEF,Expl_E_BEF_Ratio,Expl_E_TOT_Ratio,L_C_E,L_C_I,L_C_Tot,L_C,A_E,Expl_E_BEF_Loco_ratio,Expl_I_BEF_Loco_ratio,Expl_EI_BEF_Loco_ratio,Expl_E_TOT_Loco_ratio,Expl_I_TOT_Loco_ratio,Expl_E_I_TOT_Loco_ratio,Eff_Expl_E,Eff_Expl_I,Eff_Expl_EI,E_E
LE2F1_1,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,1,Lisket,Male,Lisket_Male,1,8.0,100.0,6,75.0,14,87.5,225.0,300,300,24,14,38,24.0,14.0,38.0,0.0,0.0,0,,,,24,14,38,11806.0,10872.0,22678.0,11806.0,10872.0,22678.0,0.0,0.0,0.0,,,,11806,10872,22678,2786,12242,2786,3.4449811120879446,4.087852375163169,3.4449811120879446,8,8,16,7,5,12,16,6,22,16.0,6.0,22.0,0,0,0,,,,16,6,22,11.0,0.0,13,3,13,13.0,63.1578947368421,63.1578947368421,133.33333333333334,75.0,87.5,87.5,36.8421052631579,1.8461538461538463,1.0769230769230769,2.923076923076923,1.8461538461538463,1.0769230769230769,2.923076923076923,1.0,0.75,0.875,0.875
LE2F2_1,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,1,Lisket,Male,Lisket_Male,2,8.0,100.0,8,100.0,16,100.0,202.0,193,202,11,13,24,16.336633663366335,19.306930693069308,35.64356435643565,4.0,8.0,12,12.244897959183673,24.489795918367346,36.734693877551024,15,21,36,5629.0,10387.0,16016.0,8359.90099009901,15426.237623762376,23786.138613861385,3677.0,13013.0,16690.0,11256.122448979591,39835.71428571428,51091.836734693876,9306,23400,32706,70216,2952,2952,4.846436085348534,3.470116353151004,3.470116353151004,8,8,16,3,4,7,3,5,8,4.455445544554456,7.425742574257426,11.881188118811881,1,2,3,3.061224489795918,6.122448979591836,9.183673469387756,4,7,11,10.0,0.0,10,2,7,10.396039603960396,45.833333333333336,41.666666666666664,148.5148514851485,155.44041450777203,148.5148514851485,148.5148514851485,66.66666666666667,1.5714285714285714,1.8571428571428572,3.4285714285714284,1.5,2.1,3.6,1.0,1.0,1.0,1.0
LE2F3_1,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,1,Lisket,Male,Lisket_Male,3,,,8,100.0,8,100.0,,136,136,10,18,28,22.058823529411764,39.705882352941174,61.76470588235294,10.0,8.0,18,18.29268292682927,14.634146341463415,32.926829268292686,20,26,46,7890.0,7509.0,15399.0,17404.41176470588,16563.970588235294,33968.382352941175,4004.0,8583.0,12587.0,7324.390243902439,15700.609756097561,23025.0,11894,16092,27986,48969,37173,37173,4.6899212353452295,4.570227611697569,4.570227611697569,7,8,15,3,6,9,3,10,13,6.617647058823529,22.058823529411764,28.676470588235293,3,2,5,5.487804878048781,3.658536585365854,9.146341463414634,6,12,18,9.0,3.0,26,4,10,22.058823529411764,35.714285714285715,43.47826086956522,,220.58823529411765,110.29411764705883,220.58823529411765,28.571428571428573,1.0,1.8,2.8,0.7692307692307693,1.0,1.7692307692307692,,1.0,0.5333333333333333,1.0
LE2F4_1,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,1,Lisket,Male,Lisket_Male,4,,,8,100.0,8,100.0,,85,85,10,19,29,35.294117647058826,67.05882352941177,102.3529411764706,16.0,14.0,30,22.325581395348838,19.53488372093023,41.86046511627907,26,33,59,5209.0,11992.0,17201.0,18384.70588235294,42324.705882352944,60709.41176470588,14635.0,9923.0,24558.0,20420.93023255814,13846.046511627907,34266.976744186046,19844,21915,41759,23924,12249,12249,4.378833793740069,4.088100634642659,4.088100634642659,8,8,16,2,7,9,2,11,13,7.0588235294117645,38.8235294117647,45.88235294117647,9,6,15,12.55813953488372,8.372093023255815,20.930232558139537,11,17,28,10.0,0.0,14,3,6,21.176470588235293,34.48275862068966,44.067796610169495,,352.94117647058823,176.47058823529412,352.94117647058823,27.586206896551722,1.6666666666666667,3.1666666666666665,4.833333333333333,1.8571428571428572,2.357142857142857,4.214285714285714,,1.0,0.5,1.0
LE2F1_2,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,2,Lisket,Male,Lisket_Male,1,7.0,87.5,6,75.0,13,81.25,300.0,300,300,16,11,27,16.0,11.0,27.0,0.0,0.0,0,,,,16,11,27,14964.0,9479.0,24443.0,14964.0,9479.0,24443.0,0.0,0.0,0.0,,,,14964,9479,24443,10916,34651,10916,4.038063526997859,4.539715772518249,4.038063526997859,7,6,13,5,5,10,11,6,17,11.0,6.0,17.0,0,0,0,,,,11,6,17,10.0,0.0,12,3,12,12.0,59.25925925925926,59.25925925925926,87.5,75.0,81.25,81.25,48.148148148148145,1.3333333333333333,0.9166666666666666,2.25,1.3333333333333333,0.9166666666666666,2.25,1.0,1.0,1.0,1.0
LE2F2_2,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,2,Lisket,Male,Lisket_Male,2,8.0,100.0,8,100.0,16,100.0,187.0,254,254,26,20,46,30.708661417322833,23.62204724409449,54.330708661417326,4.0,5.0,9,26.08695652173913,32.608695652173914,58.69565217391305,30,25,55,12722.0,10865.0,23587.0,15025.984251968504,12832.677165354331,27858.661417322834,3096.0,4809.0,7905.0,20191.304347826088,31363.043478260868,51554.34782608696,15818,15674,31492,44443,10756,10756,4.647803367088609,4.031650793551264,4.031650793551264,8,8,16,8,7,15,18,12,30,21.25984251968504,14.173228346456693,35.43307086614173,0,0,0,0.0,0.0,0.0,18,12,30,9.0,0.0,9,2,8,9.448818897637794,56.52173913043478,54.54545454545455,160.42780748663102,118.11023622047244,118.11023622047244,118.11023622047244,34.78260869565217,3.25,2.5,5.75,3.3333333333333335,2.7777777777777777,6.111111111111111,1.0,1.0,1.0,1.0
LE2F3_2,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,2,Lisket,Male,Lisket_Male,3,,,8,100.0,8,100.0,,106,106,10,18,28,28.30188679245283,50.943396226415096,79.24528301886792,14.0,12.0,26,21.649484536082475,18.556701030927837,40.20618556701031,24,30,54,6109.0,9182.0,15291.0,17289.622641509435,25986.79245283019,43276.41509433962,17308.0,11640.0,28948.0,26764.94845360825,18000.0,44764.948453608245,23417,20822,44239,36335,3410,3410,4.560325164529279,3.5327543789924976,3.5327543789924976,8,8,16,2,5,7,2,10,12,5.660377358490566,28.30188679245283,33.9622641509434,6,5,11,9.278350515463918,7.731958762886598,17.010309278350515,8,15,23,4.0,4.0,24,4,10,28.30188679245283,35.714285714285715,44.44444444444444,,283.0188679245283,141.50943396226415,283.0188679245283,28.571428571428573,1.0,1.8,2.8,1.0,1.25,2.25,,1.0,0.5,1.0
LE2F4_2,0,Autumn,2019-08-26,0_Autumn,2,2019-10-07,0,2,Lisket,Male,Lisket_Male,4,,,8,100.0,8,100.0,,111,111,8,16,24,21.62162162162162,43.24324324324324,64.86486486486487,18.0,20.0,38,28.571428571428573,31.746031746031747,60.317460317460316,26,36,62,3018.0,15355.0,18373.0,8156.756756756757,41500.0,49656.75675675676,13728.0,20278.0,34006.0,21790.47619047619,32187.301587301587,53977.77777777778,16746,35633,52379,2575,31896,2575,3.41077723337721,4.503736222654338,3.41077723337721,6,8,14,1,7,8,2,8,10,5.405405405405405,21.62162162162162,27.027027027027028,10,12,22,15.873015873015873,19.047619047619047,34.92063492063492,12,20,32,2.0,3.0,17,4,3,8.108108108108109,33.333333333333336,41.935483870967744,,270.27027027027026,135.13513513513513,270.27027027027026,33.333333333333336,2.6666666666666665,5.333333333333333,8.0,1.5294117647058822,2.1176470588235294,3.6470588235294117,,1.0,0.5714285714285714,1.0
LE2F1_3,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,3,Lisket,Male,Lisket_Male,1,8.0,100.0,6,75.0,14,87.5,272.0,300,300,21,12,33,21.0,12.0,33.0,0.0,0.0,0,,,,21,12,33,16624.0,13495.0,30119.0,16624.0,13495.0,30119.0,0.0,0.0,0.0,,,,16624,13495,30119,6304,19404,6304,3.7996162044814987,4.287891265954026,3.7996162044814987,8,6,14,6,4,10,13,7,20,13.0,7.0,20.0,0,0,0,,,,13,7,20,10.0,0.0,11,2,11,11.0,63.63636363636363,63.63636363636363,110.29411764705883,75.0,87.5,87.5,42.42424242424242,1.9090909090909092,1.0909090909090908,3.0,1.9090909090909092,1.0909090909090908,3.0,1.0,1.0,1.0,1.0
LE2F2_3,0,Autumn,2019-08-26,0_Autumn,1,2019-10-07,0,3,Lisket,Male,Lisket_Male,2,8.0,100.0,8,100.0,16,100.0,222.0,208,222,20,23,43,27.027027027027028,31.08108108108108,58.108108108108105,8.0,9.0,17,30.76923076923077,34.61538461538461,65.38461538461539,28,32,60,10899.0,9629.0,20528.0,14728.378378378378,13012.162162162162,27740.54054054054,6075.0,5868.0,11943.0,23365.384615384617,22569.23076923077,45934.61538461538,16974,15497,32471,21746,15907,15907,4.337379383695819,4.201588281073518,4.201588281073518,8,8,16,6,7,13,12,15,27,16.216216216216218,20.27027027027027,36.486486486486484,1,2,3,3.8461538461538463,7.6923076923076925,11.538461538461538,13,17,30,9.0,0.0,10,2,6,8.108108108108109,46.51162790697674,46.666666666666664,135.13513513513513,144.23076923076923,135.13513513513513,135.13513513513513,37.2093023255814,3.3333333333333335,3.8333333333333335,7.166666666666667,2.8,3.2,6.0,1.0,1.0,1.0,1.0
