Variable,ICC,F,pval,CI95%
Expl_I_AFT_T_Calc,-0.07449896267255408,0.6823016124971115,0.7449495329796921,[-0.19  0.2 ]
Expl_I_AFT_Calc,-0.07092926953863149,0.7317344267829131,0.6892251765537061,[-0.21  0.26]
Paradigm,0.0,,,[nan nan]
Expl_E_BEF_Ratio,0.02725665036230275,1.2040852447714727,1.3156959105998327e-05,[0.   0.05]
Expl_E_TOT_Ratio,0.03271482850618535,1.2410642206361684,4.837597946207856e-07,[0.01 0.06]
Expl_REP_I_AFT_Nr_Calc,0.07001962664555295,1.4890302250152962,0.18249614490723876,[-0.06  0.36]
Lat_Tot_Log,0.09132693245756615,1.4775622662580923,8.439710259005832e-20,[0.06 0.12]
Expl_E_BEF_T,0.09159074461623178,1.465616863114081,6.111062685434143e-19,[0.06 0.12]
Box_REP_E_BEF_Nr,0.09344674911932181,1.5065963509696192,1.101613819959289e-21,[0.06 0.13]
Expl_I_AFT_T,0.0987347597171482,1.6862166073799019,2.643471813975364e-34,[0.04 0.15]
Expl_REP_E_BEF_Nr,0.10387994186564527,1.573236998687182,3.1717215611656127e-26,[0.07 0.14]
Expl_I_BEF_T,0.10662303600947304,1.5067985995645485,1.4017621739195383e-21,[0.08 0.13]
Expl_E_AFT_T,0.11341794705602617,1.736113590843427,3.7810397368827714e-38,[0.06 0.17]
Lat_I_Log,0.12099025164770019,1.6126004689667592,4.898414202433491e-29,[0.09 0.15]
Expl_REP_I_AFT_Nr,0.1210744092703946,1.830988939783868,4.8000429676426136e-46,[0.06 0.18]
Expl_E_I_AFT_T,0.12321773115900603,1.9342375945263,2.16522016991973e-54,[0.05 0.19]
Lat_E_Log,0.1277488425721937,1.6286630486735514,3.292472197814181e-30,[0.1  0.16]
EAT_TOT_T,0.13039920069762012,2.398594587678051,5.529480508419849e-97,[0.03 0.23]
Expl_I_AFT_Nr,0.1331161811166796,2.1530714536960684,1.0119725646642016e-73,[0.05 0.22]
Expl_E_BEF_Nr,0.13554931226453956,1.7311414129208562,5.302947216240779e-38,[0.1  0.17]
Expl_I_BEF_AFT_T,0.13646228722549136,1.973459479132124,3.905826425415795e-58,[0.07 0.21]
LAT_E,0.13791405641692694,1.7505291485778256,1.5657569336838207e-39,[0.1  0.18]
Box_E_BEF_Nr,0.14165674910552034,1.7275427101484897,1.0154485782009384e-37,[0.11 0.17]
Expl_REP_AFT_Nr_Calc,0.1474786936958284,2.132473903994041,0.045909674306717704,[-0.02  0.46]
LAT_E_I,0.1483416850371242,1.7764140506286632,1.340806263978613e-41,[0.12 0.18]
Expl_E_I_BEF_T,0.1486859529751987,1.7084556109837863,4.980683045035012e-36,[0.12 0.18]
Expl_E_I_AFT_Nr,0.15308668970886993,2.36038708755158,2.2313737293253024e-93,[0.06 0.25]
LAT_I,0.15355622205030445,1.7806726858623216,6.089762730856516e-42,[0.12 0.18]
Expl_REP_AFT_Nr,0.15479090838964066,2.1120367382188934,1.9828365508064108e-70,[0.08 0.23]
Expl_I_BEF_Calc_T,0.1617962717722683,2.1405828679435905,5.152386617731113e-73,[0.09 0.23]
Expl_E_BEF_Calc_T,0.16298940378126175,1.7900236496127073,1.0700850874801254e-42,[0.14 0.19]
Expl_E_AFT_Nr,0.1654967659035193,2.3707494214147804,8.347470288281816e-94,[0.07 0.26]
EAT_I_T,0.16555737881397561,2.7383999940971973,1.4305716104663551e-129,[0.05 0.28]
Expl_REP_E_AFT_Nr_Calc,0.16613724959135923,2.1529365609617748,0.0439101233399632,[-0.02  0.5 ]
Expl_REP_I_BEF_Nr,0.1667438684143574,2.140842360367788,4.880164196308684e-73,[0.1  0.24]
Expl_REP_E_AFT_Nr,0.17010311466467445,2.1286309746367174,6.257306929046883e-72,[0.1  0.24]
Box_REP_I_BEF_Nr,0.18060371597023656,2.582875755574586,1.4515576978609861e-114,[0.07 0.28]
Expl_I_BEF_Nr,0.19860990189570105,2.51836129399017,2.2249839218766293e-108,[0.11 0.29]
Expl_REP_BEF_Nr,0.199835045918915,2.036505343796259,1.1346900861957325e-63,[0.17 0.23]
Expl_REP_I_BEF_AFT_Nr,0.2022466762720483,3.356811862504113,1.4107440141101954e-189,[0.06 0.34]
Expl_REP_E_BEF_Calc_T,0.20323577456697856,2.049358525329978,8.203452944025607e-65,[0.18 0.23]
Expl_REP_I_BEF_Calc_T,0.20345343896648857,2.694729588740538,2.3993186912742017e-125,[0.1  0.31]
Expl_I_BEF_Calc,0.2080709417568767,2.943600666398691,2.2368718889310473e-149,[0.08 0.33]
Expl_I_BEF_AFT_Nr,0.20909589140277862,4.133414491050941,2.6378157513583988e-263,[0.04 0.37]
Expl_E_I_BEF_Calc_T,0.21055817051276182,2.2591702116307806,6.536410609114454e-84,[0.16 0.26]
A_E,0.21170566268578497,2.1584363347844,1.4698861904114183e-73,[0.18 0.25]
Expl_E_I_AFT_T_Calc,0.221854091268184,2.4663097857018577,0.0222420299318875,[0.   0.56]
Expl_E_BEF_AFT_T,0.22634640312465293,2.231306277791764,2.491493608884526e-81,[0.2  0.26]
L_C,0.23034544718055608,3.69895444276015,2.058026358913001e-222,[0.07 0.38]
Expl_I_BEF_Loco_ratio,0.23589363052855292,3.2532682925466787,3.5057559194468883e-177,[0.1  0.36]
Box_REP_E_I_BEF_Nr,0.23811261982017692,2.3310045338762513,1.288968170527352e-90,[0.21 0.27]
Expl_TOT_T,0.24013818814440702,2.736902994375807,1.997279464742597e-129,[0.16 0.32]
L_C_I,0.24191601806611865,3.835278353841409,2.3679910717765273e-235,[0.08 0.39]
Expl_E_I_BEF_Nr,0.2422943500367538,2.3456507978351637,5.431586211817138e-92,[0.21 0.27]
Box_I_BEF_Nr,0.24557890801850393,3.0458470341804786,2.000323258015734e-159,[0.13 0.35]
Expl_I_TOT_Loco_ratio,0.2488113435093538,3.067685294974292,1.1957480213280708e-159,[0.14 0.35]
Expl_E_AFT_T_Calc,0.25618272654902896,2.493277927563299,0.020983705588772814,[0.01 0.61]
Eff_Expl_I,0.2613366029612549,3.081365578702469,7.068889067602744e-163,[0.16 0.36]
EAT_I_Nr,0.26289580830129566,4.097006038603007,6.4263254762149266e-260,[0.09 0.42]
EAT_I_%,0.2628958083012958,4.097006038603013,6.426325476209081e-260,[0.09 0.42]
Expl_REP_E_I_BEF_Calc_T,0.2656884231296542,2.7775555661889566,2.302723268805998e-133,[0.2  0.33]
EXPL_BEF,0.2775572597630369,3.302492346214133,2.518346398762641e-184,[0.16 0.38]
Expl_E_I_AFT_Calc,0.2840185610408097,2.58431434828646,0.021626823195336285,[0.01 0.65]
Expl_E_BEF_Calc,0.2851223895702231,2.681677442445563,4.37812789508794e-124,[0.25 0.32]
Box_E_I_BEF_Nr,0.2943719134418694,2.839940060692021,2.0433444422991413e-139,[0.25 0.34]
Eff_Expl_EI,0.3023227308550479,3.2223282796644463,1.4643645624862995e-176,[0.22 0.38]
E_E,0.30618640835732086,3.853024656086641,4.976371829414602e-237,[0.17 0.43]
Expl_E_TOT_Loco_ratio,0.31337160564177086,2.9577093432574584,4.36658580222174e-149,[0.28 0.35]
